Protein accession number,Latitude,Longitude,Exact sampling location,Coordinate evidence,Source URL
WP_328185892.1,-21.520,-39.490,Brazil:Campos basin; 1200m,BioSample lat_lon field: 21.520 S 39.490 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN37497672
WP_223655416.1,Not reported,Not reported,China: the South China Sea,BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN18869291
WP_169406150.1,Not reported,Not reported,China: Nanhai,BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN14604097
WP_373184602.1,29.928,122.422,China: ZhouShan,BioSample lat_lon field: 29.928 N 122.422 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN42102612
WP_328185870.1,-21.520,-39.490,Brazil:Campos basin; 1200m,BioSample lat_lon field: 21.520 S 39.490 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN37497672
WP_169407362.1,Not reported,Not reported,China: Nanhai,BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN14604097
WP_169407363.1,Not reported,Not reported,China: Nanhai,BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN14604097
WP_415055749.1,87.4122,93.2151,Arctic Ocean,BioSample lat_lon field: 87.4122 N 93.2151 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN44755693
WP_487154109.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; 7.7",BioSample lat_lon field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD01680988
WP_425221518.1,Not reported,Not reported,Pacific Ocean: Lau Basin,BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN27359717
WP_432569505.1,19.31,109.34,China; 1m-1.5m,BioSample lat_lon field: 19.31 N 109.34 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN48905112
WP_373185656.1,29.928,122.422,China: ZhouShan,BioSample lat_lon field: 29.928 N 122.422 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN42102612
WP_432569504.1,19.31,109.34,China; 1m-1.5m,BioSample lat_lon field: 19.31 N 109.34 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN48905112
WP_118131888.1,27.01,-111.41,"Mexico: Gulf of California, Big Pagoda, Millenium Falcon; 1971",BioSample lat_lon field: 27.01 N 111.41 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN39175701
WP_304640094.1,Not reported,Not reported,Not reported,BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN34049256
WP_223655417.1,Not reported,Not reported,China: the South China Sea,BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN18869291
WP_487155282.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; 7.7",BioSample lat_lon field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD01680988
WP_464382426.1,35.1955708,139.6673981,Japan:Kanagawa; 0 m,BioSample lat_lon field: 35.1955708 N 139.6673981 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00898857
WP_285677831.1,-22.74,-41.88,"Brazil: Buzios, Rio de Janeiro",BioSample lat_lon field: 22.74 S 41.88 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN34405138
WP_304640135.1,Not reported,Not reported,Not reported,BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN34049256
WP_487156170.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; 7.7",BioSample lat_lon field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD01680988
WP_344804818.1,Not reported,Not reported,China,BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMD00645599
WP_416398726.1,85.09,95.85,Arctic Ocean; 1m,BioSample lat_lon field: 85.09 N 95.85 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN41015456
WP_290594301.1,19.909,115.243,Pacific Ocean: South China Sea; 700 m,BioSample lat_lon field: 19.909 N 115.243 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN08366045
WP_460225302.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; 2.8m",BioSample lat_lon field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00787897
WP_101893885.1,Not reported,Not reported,South Korea: Taean,BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN06011404
WP_290577639.1,19.909,115.243,Pacific Ocean: South China Sea; 700 m,BioSample lat_lon field: 19.909 N 115.243 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN08366966
WP_439133283.1,Not reported,Not reported,Not reported,BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA118800759
WP_248941904.1,Not reported,Not reported,Japan: Suruga Bay,BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN24537866
WP_472617452.1,Not reported,Not reported,South Korea: Hakampo,BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN52399731
WP_222911733.1,-16.542142,89.289884,Indian Ocean: Ninety East Ridge,BioSample lat_lon field: 16.542142 S 89.289884 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN20777501
WP_037003877.1,Not reported,Not reported,"USA: FL, Apalachicola Bay",BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN02471812
WP_342405044.1,Not reported,Not reported,USA: Pacific Ocean; 2246.41475,BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN41018447
WP_353410588.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; 7.7",BioSample lat_lon field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00755679
WP_353352583.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; 2.8",BioSample lat_lon field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00755700
WP_353348434.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; 2.8",BioSample lat_lon field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00755700
WP_353348446.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; 2.8",BioSample lat_lon field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00755700
WP_021018894.1,Not reported,Not reported,Vibrio gazogenes from coastal Carolina,BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN06053751
WP_460403762.1,Not reported,Not reported,China,BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMD00809562
WP_254715825.1,Not reported,Not reported,China:Hainan,BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN15090285
WP_460238364.1,31.557,130.564,"Japan:Kagoshima, Kagoshima, Kagoshima Bay; 5.05m",BioSample lat_lon field: 31.557 N 130.564 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00787896
WP_475536341.1,38.333446,-123.058785,"USA: Califronia, Bodega Bay",BioSample lat_lon field: 38.333446 N 123.058785 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN54449791
WP_464107832.1,31.557,130.564,"Japan:Kagoshima, Kagoshima, Kagoshima Bay; 19.1m",BioSample lat_lon field: 31.557 N 130.564 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00787894
WP_460231427.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; 7.8m",BioSample lat_lon field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00787895
WP_134651899.1,16.22,108.22,10m depth in seawater,BioSample lat_lon field: 16.22 N 108.22 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN11039608
WP_464107830.1,31.557,130.564,"Japan:Kagoshima, Kagoshima, Kagoshima Bay; 19.1m",BioSample lat_lon field: 31.557 N 130.564 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00787894
WP_360218589.1,Not reported,Not reported,USA,BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN41497392
WP_495402955.1,Not reported,Not reported,"USA: St. Augustine, Florida",BioSample lat_lon field: Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN56691315
